 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05764;BARRILLOS;42,812364;-5,283128;CARRETERA LE-4606 - ESTACION FERROCARRIL, S/N;24877;Ercina, La;León;https://data.renfe.com/files/estaciones/FichaEstacion05764.pdf;
05765;LA LOSILLA;42,838561;-5,318151;CALLE REAL CIMERA, S/N;24860;Vegaquemada;León;https://data.renfe.com/files/estaciones/FichaEstacion05765.pdf;
05766;BOÑAR;42,862759;-5,328534;CALLE HERMINIO RODRIGUEZ, S/N;24850;Boñar;León;https://data.renfe.com/files/estaciones/FichaEstacion05766.pdf;
05767;LA VECILLA;42,855095;-5,412162;CARRETERA LE-321 - ESTACION FERROCARRIL, S/N;24840;Vecilla, La;León;https://data.renfe.com/files/estaciones/FichaEstacion05767.pdf;
05768;AVIADOS;42,854774;-5,442816;CALLE BARRIO FONDO - CARRETERA CL-626 - ESTACION FERROCARRIL, S/N;24849;Vecilla, La;León;https://data.renfe.com/files/estaciones/FichaEstacion05768.pdf;
05769;LA VALCUEVA;42,84966;-5,486957;CALLE LA RIBA, S/N;24839;Matallana de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05769.pdf;
05770;MATALLANA;42,841068;-5,522135;CALLE TRAVESIA ESTACION FERROCARRIL, S/N;24830;Matallana de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05770.pdf;
05771;PARDAVE;42,806349;-5,508186;CALLE SAN ANDRES, S/N;24820;Matallana de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05771.pdf;
05772;PEDRUN;42,791013;-5,506954;CARRETERA LE-311 - ESTACION FERROCARRIL, S/N;24820;Garrafe de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05772.pdf;
05773;MANZANEDA;42,754603;-5,51641;CALLE VEGA DE SAN PEDRO, S/N;24891;Garrafe de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05773.pdf;
05774;GARRAFE;42,734502;-5,52421;CALLE ESTACION FERROCARRIL, 5;24891;Garrafe de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05774.pdf;
05775;PALAZUELO;42,707132;-5,533764;CAMINO APEADERO, 11;24891;Garrafe de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05775.pdf;
05776;SAN FELIZ;42,682301;-5,537782;CALLE ESTACION FERROCARRIL, 3;24890;Garrafe de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05776.pdf;
05777;VILLAQUILAMBRE;42,646886;-5,554037;CALLE LA VIA, S/N;24193;Villaquilambre;León;https://data.renfe.com/files/estaciones/FichaEstacion05777.pdf;
05778;LEÓN, PADRE ISLA;42,60232;-5,57504;AVDA. PADRE ISLA, 48;24002;León;León;;
05784;HOSPITALES;42,61262;-5,56985;Calle Maestro Jusquin, 17;24008;León;León;;
05785;VILLASINTA;42,657554;-5,549298;CALLE LA VIA, S/N;24193;Villaquilambre;León;https://data.renfe.com/files/estaciones/FichaEstacion05785.pdf;
05786;MATUECA;42,771532;-5,51194;CALLE VIRGEN CAMINO, S/N;24820;Garrafe de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05786.pdf;
05787;NAREDO;42,833441;-5,523002;CARRETERA LE-4620 - ESTACION FERROCARRIL, S/N;24839;Matallana de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05787.pdf;
05788;ROBLES;42,840726;-5,507317;CALLE ESTACION FERROCARRIL S/N;24839;Matallana de Torío;León;https://data.renfe.com/files/estaciones/FichaEstacion05788.pdf;
05789;CAMPOHERMOSO;42,855941;-5,42872;CARRETERA CL-626 - ESTACION FERROCARRIL, S/N;24849;Vecilla, La;León;https://data.renfe.com/files/estaciones/FichaEstacion05789.pdf;
05790;SORRIBA;42,786275;-5,127475;CALLE CAMINO NUMERO UNO, 2;24815;Cistierna;León;https://data.renfe.com/files/estaciones/FichaEstacion05790.pdf;
05793;LA MATA DE LA RIBA;42,858578;-5,339745;CALLE LA UNION, S/N;24852;Vegaquemada;León;https://data.renfe.com/files/estaciones/FichaEstacion05793.pdf;
05794;LA RAYA;42,638109;-5,556996;CALLE PICON, S/N;24193;Villaquilambre;León;https://data.renfe.com/files/estaciones/FichaEstacion05794.pdf;
05795;OTERO;42,859568;-5,389983;CALLE ESTACION FERROCARRIL S/N;24847;Villaquilambre;León;https://data.renfe.com/files/estaciones/FichaEstacion05795.pdf;
05796;VILLA ROMANA;42,629111;-5,561338;AVENIDA DE LA LIBERTAD, S/N;24193;Villaquilambre;León;https://data.renfe.com/files/estaciones/FichaEstacion05796.pdf;
05797;VALDEPIELAGO;42,864964;-5,403234;CARRETERA LE-321 - ESTACION FERROCARRIL, S/N;24847;Valdepiélago;León;https://data.renfe.com/files/estaciones/FichaEstacion05797.pdf;
